"","winner","Round_1","Round_2","Round_3","Round_4","Round_5","Round_6"
"1","ABILENE CHRISTIAN",0.221975,0.037635,0.008735,0.001931,0.000571,8.6e-05
"2","ARIZONA STATE",0.338723,0.084413,0.023193,0.004297,0.000893,0.000176
"3","AUBURN",0.675785,0.395708,0.159565,0.085141,0.040907,0.012313
"4","BAYLOR",0.278991,0.054483,0.024327,0.005965,0.001295,0.00033
"5","BELMONT",0.505561,0.306491,0.129811,0.039614,0.01098,0.004354
"6","BRADLEY",0.19231,0.050567,0.010109,0.001367,0.000148,2.7e-05
"7","BUFFALO",0.661277,0.299017,0.172283,0.081283,0.036375,0.019415
"8","CALIFORNIA IRVINE",0.329774,0.104713,0.033337,0.008322,0.001692,0.000264
"9","CENTRAL FLORIDA",0.380589,0.066879,0.023897,0.009043,0.001795,0.000549
"10","CINCINNATI",0.796762,0.353931,0.16615,0.079179,0.028822,0.006953
"11","COLGATE",0.097667,0.024974,0.006853,0.001661,0.000329,5e-05
"12","DUKE",0.928272,0.80475,0.677927,0.473544,0.298155,0.218668
"13","FAIRLEIGH DICKINSON",0.092174,0.017341,0.002571,0.00035,4e-05,4e-06
"14","FLORIDA",0.408026,0.180246,0.091592,0.025582,0.009094,0.004078
"15","FLORIDA STATE",0.721576,0.507177,0.125109,0.053422,0.018263,0.008148
"16","GARDNER WEBB",0.125163,0.014347,0.002387,0.000275,2.9e-05,3e-06
"17","GEORGIA STATE",0.272838,0.081787,0.014702,0.003475,0.000966,0.000137
"18","GONZAGA",0.907826,0.774007,0.668999,0.497817,0.330735,0.247446
"19","HOUSTON",0.727162,0.463991,0.319945,0.143419,0.084735,0.02828
"20","IONA",0.165382,0.024229,0.002974,0.000352,6.5e-05,7e-06
"21","IOWA",0.203238,0.049766,0.01371,0.004237,0.00124,0.000197
"22","IOWA STATE",0.73024,0.382393,0.210871,0.09559,0.045074,0.011112
"23","KANSAS",0.802275,0.420764,0.131474,0.052769,0.01896,0.004398
"24","KANSAS STATE",0.670226,0.34122,0.177065,0.085661,0.035609,0.008997
"25","KENTUCKY",0.778025,0.459225,0.223411,0.100081,0.044872,0.012918
"26","LIBERTY",0.40327,0.147097,0.026554,0.01042,0.002203,0.000752
"27","LOUISIANA STATE",0.586475,0.337027,0.127295,0.049887,0.018707,0.008498
"28","LOUISVILLE",0.674906,0.212454,0.111756,0.021511,0.004578,0.001353
"29","MARQUETTE",0.597881,0.243094,0.046923,0.016506,0.003621,0.001022
"30","MARYLAND",0.494439,0.225152,0.070302,0.014368,0.003231,0.000916
"31","MICHIGAN",0.866402,0.508759,0.307449,0.14331,0.064832,0.037223
"32","MICHIGAN STATE",0.80769,0.648502,0.493571,0.232211,0.085564,0.044881
"33","MINNESOTA",0.325094,0.088477,0.030202,0.004835,0.000856,0.000204
"34","MISSISSIPPI",0.619776,0.212831,0.097102,0.033069,0.008224,0.001551
"35","MISSISSIPPI STATE",0.59673,0.303386,0.081055,0.03096,0.008729,0.003114
"36","MONTANA",0.133598,0.027247,0.007009,0.001072,0.000173,2.5e-05
"37","MURRAY STATE",0.402119,0.151969,0.032914,0.011316,0.003039,0.000987
"38","NEVADA",0.591974,0.283748,0.134323,0.037395,0.011766,0.005321
"39","NEW MEXICO STATE",0.324215,0.143364,0.047125,0.017848,0.007566,0.001668
"40","NORTH CAROLINA",0.834618,0.651445,0.478845,0.339077,0.216682,0.107648
"41","NORTH DAKOTA STATE",0.071728,0.011425,0.001961,0.000396,4.4e-05,9e-06
"42","NORTHEASTERN",0.197725,0.040164,0.010264,0.002007,0.000541,7.9e-05
"43","NORTHERN KENTUCKY",0.167193,0.0381,0.006041,0.000979,0.00017,2.2e-05
"44","OHIO STATE",0.26976,0.071829,0.025678,0.007314,0.002598,0.000405
"45","OKLAHOMA",0.380224,0.117458,0.035805,0.009139,0.002013,0.000269
"46","OLD DOMINION",0.298071,0.110818,0.043555,0.0156,0.003696,0.000591
"47","OREGON",0.444274,0.231846,0.109566,0.055941,0.020278,0.00456
"48","PURDUE",0.701929,0.436956,0.215705,0.118379,0.057281,0.018218
"49","SAINT LOUIS",0.306945,0.086747,0.016826,0.005121,0.001039,0.00025
"50","SAINT MARYS CA",0.294585,0.114355,0.043274,0.018898,0.005265,0.001101
"51","SETON HALL",0.154141,0.042414,0.010261,0.002007,0.000581,8.7e-05
"52","SYRACUSE",0.721009,0.154169,0.082127,0.029077,0.009247,0.003856
"53","TENNESSEE",0.902333,0.571329,0.3629,0.19971,0.117145,0.039872
"54","TEXAS TECH",0.832807,0.57847,0.25811,0.087007,0.042643,0.024188
"55","UTAH STATE",0.309572,0.113866,0.049608,0.016015,0.005104,0.000978
"56","VERMONT",0.278424,0.09776,0.01703,0.004622,0.001058,0.000299
"57","VILLANOVA",0.705415,0.337871,0.147853,0.07604,0.024755,0.005533
"58","VIRGINIA",0.874837,0.655364,0.366932,0.214574,0.132093,0.059448
"59","VIRGINIA COMMONWEALTH",0.619411,0.116946,0.058021,0.025269,0.006906,0.002724
"60","VIRGINIA TECH",0.693055,0.46277,0.113759,0.07653,0.022977,0.011019
"61","WASHINGTON",0.690428,0.21046,0.120145,0.05882,0.028682,0.006596
"62","WISCONSIN",0.555726,0.322221,0.177806,0.079315,0.030612,0.00812
"63","WOFFORD",0.845859,0.460726,0.186397,0.074154,0.033013,0.007507
"64","YALE",0.413525,0.13133,0.026954,0.004924,0.000844,0.000196
