,,team_rating,team_rating,FiveThirtyEight,MG,diff,higherSeedWon,ProbGained_FTE,ProbGained_MG,,,,,
Virginia,Maryland-Baltimore County,94.29,71.36,0.982382997,0.8202963,0.162086697,0,0.017617003,0.1797037,0,0,0.162086697,,
Cincinnati,Georgia State,91.09,75.89,0.934962731,0.8630935,0.071869231,1,0.934962731,0.8630935,1,1,0.071869231,,
Tennessee,Wright State,87.19,74.3,0.90554841,0.7981889,0.10735951,1,0.90554841,0.7981889,1,1,0.10735951,,
Arizona,Buffalo,87.86,79.07,0.823676474,0.6213975,0.202278974,0,0.176323526,0.3786025,0,0,0.202278974,,
Kentucky,Davidson,88.06,81.78,0.750502006,0.4871387,0.263363306,1,0.750502006,0.4871387,1,0,0.263363306,,
Miami (FL),Loyola (IL),83.95,81.28,0.61496337,0.6337483,-0.01878493,0,0.38503663,0.3662517,0,0,0.01878493,,
Nevada,Texas,81.83,82.91,0.452792509,0.7150519,-0.262259391,1,0.452792509,0.7150519,0,1,0.262259391,,
Creighton,Kansas State,83.41,81.5,0.58296255,0.7143377,-0.13137515,0,0.41703745,0.2856623,0,0,0.13137515,,
Villanova,Radford,94.94,70.87,0.985529011,0.98562698,-9.7969E-05,1,0.985529011,0.98562698,1,1,9.7969E-05,,
Purdue,Cal State Fullerton,91.09,71.88,0.966713793,0.95416966,0.012544133,1,0.966713793,0.95416966,1,1,0.012544133,,
Texas Tech,Stephen F. Austin,87.3,74.78,0.899850837,0.8808171,0.019033737,1,0.899850837,0.8808171,1,1,0.019033737,,
Wichita State,Marshall,87.97,75.58,0.897777538,0.7815927,0.116184838,0,0.102222462,0.2184073,0,0,0.116184838,,
West Virginia,Murray State,88.6,78.93,0.844982565,0.8548383,-0.009855735,1,0.844982565,0.8548383,1,1,0.009855735,,
Florida,St. Bonaventure,86.45,80.26,0.747535021,0.7814605,-0.033925479,1,0.747535021,0.7814605,1,1,0.033925479,,
Arkansas,Butler,83.29,84.65,0.440656963,0.3918412,0.048815763,0,0.559343037,0.6081588,1,1,0.048815763,,
