Year,Round,Winner,Loser,WinScore,LoseScore,WinSeed,LoseSeed
2011,1,Ohio State,Texas San Antonio,75,46,1,16
2011,1,George Mason,Villanova,61,57,8,9
2011,1,West Virginia,Clemson,84,76,5,12
2011,1,Kentucky,Princeton,59,57,4,13
2011,1,Marquette,Xavier,66,55,11,6
2011,1,Syracuse,Indiana State,77,60,3,14
2011,1,Washington,Georgia,68,65,7,10
2011,1,North Carolina,Long Island University,102,87,2,15
2011,1,Duke,Hampton,87,45,1,16
2011,1,Michigan,Tennessee,75,45,8,9
2011,1,Arizona,Memphis,77,75,5,12
2011,1,Texas,Oakland,85,81,4,13
2011,1,Cincinnati,Missouri,78,63,6,11
2011,1,Connecticut,Bucknell,81,52,3,14
2011,1,Temple,Penn State,66,64,7,10
2011,1,San Diego State,Northern Colorado,68,50,2,15
2011,1,Kansas,Boston University,72,53,1,16
2011,1,Illinois,Nevada Las Vegas,73,62,9,8
2011,1,Richmond,Vanderbilt,69,66,12,5
2011,1,Morehead State,Louisville,62,61,13,4
2011,1,Virginia Commonwealth,Georgetown,74,56,11,6
2011,1,Purdue,Saint Peter's,65,43,3,14
2011,1,Florida State,Texas A&M;,57,50,10,7
2011,1,Notre Dame,Akron,69,56,2,15
2011,1,Pittsburgh,North Carolina Asheville,74,51,1,16
2011,1,Butler,Old Dominion,60,58,8,9
2011,1,Kansas State,Utah State,73,68,5,12
2011,1,Wisconsin,Belmont,72,58,4,13
2011,1,Gonzaga,St Johns NY,86,71,11,6
2011,1,Brigham Young,Wofford,74,66,3,14
2011,1,UCLA,Michigan State,78,76,7,10
2011,1,Florida,California Santa Barbara,79,51,2,15
2011,2,Ohio State,George Mason,98,66,1,8
2011,2,Kentucky,West Virginia,71,63,4,5
2011,2,Marquette,Syracuse,66,62,11,3
2011,2,North Carolina,Washington,86,83,2,7
2011,2,Duke,Michigan,73,71,1,8
2011,2,Arizona,Texas,70,69,5,4
2011,2,Connecticut,Cincinnati,69,58,3,6
2011,2,San Diego State,Temple,71,64,2,7
2011,2,Kansas,Illinois,73,59,1,9
