,Date,TEAM,homeStatus,Opponent,oppHasLink,winner,pointsFor,pointsAllowed,FG,FGA,FG_pc,3P,3PA,3P_pc,FT,FTA,FT_pc,ORB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG_pc_opp,3P_opp,3PA_opp,3P_pc_opp,FT_opp,FTA_opp,FT_pc_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,tourneyGame
0,,abilene-christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,abilene-christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,b'2016-11-11',abilene-christian,b'',b'Schreiner',0,b'W',b'73',b'59',b'27',b'64',b'.422',b'9',b'22',b'.409',b'10',b'15',b'.667',b'15',b'41',b'13',b'8',b'5',b'11',b'17',b'23',b'53',b'.434',b'8',b'21',b'.381',b'5',b'11',b'.455',b'5',b'27',b'18',b'6',b'2',b'14',b'14',False
3,b'2016-11-17',abilene-christian,b'@',b'New Hampshire',1,b'W',b'65',b'57',b'22',b'46',b'.478',b'5',b'15',b'.333',b'16',b'29',b'.552',b'1',b'29',b'8',b'8',b'2',b'14',b'21',b'21',b'60',b'.350',b'5',b'24',b'.208',b'10',b'17',b'.588',b'10',b'39',b'6',b'3',b'0',b'18',b'25',False
4,b'2016-11-22',abilene-christian,b'',b'Charleston Southern',1,b'L',b'65',b'66',b'27',b'48',b'.563',b'2',b'13',b'.154',b'9',b'18',b'.500',b'4',b'24',b'16',b'8',b'4',b'12',b'17',b'25',b'56',b'.446',b'6',b'19',b'.316',b'10',b'16',b'.625',b'12',b'31',b'8',b'2',b'3',b'14',b'17',False
5,b'2016-11-25',abilene-christian,b'@',b'Oklahoma',1,b'L',b'64',b'72',b'24',b'57',b'.421',b'7',b'22',b'.318',b'9',b'19',b'.474',b'9',b'39',b'6',b'13',b'4',b'22',b'32',b'20',b'55',b'.364',b'3',b'14',b'.214',b'29',b'46',b'.630',b'10',b'36',b'6',b'14',b'5',b'13',b'17',False
6,b'2016-11-27',abilene-christian,b'',b'Howard Payne',0,b'W',b'71',b'55',b'22',b'42',b'.524',b'5',b'15',b'.333',b'22',b'27',b'.815',b'4',b'34',b'15',b'6',b'4',b'18',b'24',b'18',b'53',b'.340',b'4',b'20',b'.200',b'15',b'26',b'.577',b'10',b'28',b'10',b'10',b'2',b'14',b'22',False
7,b'2016-11-30',abilene-christian,b'@',b'New Mexico',1,b'L',b'55',b'64',b'20',b'48',b'.417',b'8',b'24',b'.333',b'7',b'10',b'.700',b'6',b'25',b'13',b'3',b'2',b'14',b'20',b'22',b'48',b'.458',b'2',b'11',b'.182',b'18',b'25',b'.720',b'6',b'30',b'16',b'4',b'1',b'8',b'9',False
8,b'2016-12-03',abilene-christian,b'@',b'Charleston Southern',1,b'W(1 OT)',b'85',b'82',b'28',b'50',b'.560',b'8',b'14',b'.571',b'21',b'26',b'.808',b'5',b'31',b'10',b'4',b'5',b'14',b'23',b'27',b'64',b'.422',b'12',b'31',b'.387',b'16',b'27',b'.593',b'11',b'28',b'10',b'4',b'4',b'10',b'20',False
9,b'2016-12-10',abilene-christian,b'',b'Northern New Mexico',0,b'W',b'90',b'69',b'32',b'55',b'.582',b'7',b'17',b'.412',b'19',b'22',b'.864',b'5',b'31',b'23',b'13',b'2',b'14',b'22',b'21',b'48',b'.438',b'6',b'20',b'.300',b'21',b'29',b'.724',b'3',b'21',b'8',b'6',b'0',b'17',b'18',False
10,b'2016-12-14',abilene-christian,b'',b'Hillsdale',0,b'W',b'78',b'74',b'29',b'61',b'.475',b'9',b'19',b'.474',b'11',b'16',b'.688',b'7',b'34',b'17',b'8',b'3',b'7',b'14',b'25',b'60',b'.417',b'15',b'30',b'.500',b'9',b'10',b'.900',b'5',b'32',b'17',b'5',b'5',b'13',b'17',False
